PARK AGENCY,PARK NAME,CLEANLINESS,SAFETY,ACTIVITY,COURTESY,VISIT AGAIN,SURVEY_DATE
NORTH,Apollo Community Regional Park,F,F,,F,F,03/27/2015
SOUTH,Pathfinder Community Regional Park,A,A,,A,A,03/28/2015
GOLF,Knollwood Golf Course,B,A,,C,F,03/29/2015
SOUTH,Jesse Owens Community Regional Park,A,A,A,A,A,03/30/2015
REGIONAL,Whittier Narrows Recreation Area,F,F,A,C,C,03/30/2015
EAST,City Terrace Park,B,C,B,B,A,04/01/2015
NORTH,Pearblossom County Park,A,A,A,A,A,04/01/2015
SOUTH,Jesse Owens Community Regional Park,A,B,B,A,A,04/01/2015
NORTH,Pearblossom County Park,A,A,,B,A,04/02/2015
SOUTH,William Steinmetz Park,D,B,,C,B,04/02/2015
SOUTH,Del Aire Park,F,F,D,F,F,04/02/2015
SOUTH,Los Robles Park,A,A,F,A,A,04/02/2015
NORTH,Apollo Community Regional Park,A,A,,A,A,04/03/2015
NORTH,Castaic Regional Sports Complex,A,A,A,A,A,04/03/2015
NORTH,Apollo Community Regional Park,A,A,,A,A,04/04/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,D,A,A,A,A,04/04/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,04/05/2015
SOUTH,Adventure Park,A,A,A,A,A,04/06/2015
SOUTH,Adventure Park,A,A,A,A,A,04/06/2015
SOUTH,Adventure Park,A,A,A,A,A,04/06/2015
SOUTH,Adventure Park,A,A,B,A,A,04/06/2015
SOUTH,Adventure Park,A,A,A,A,A,04/06/2015
SOUTH,Adventure Park,A,A,A,A,A,04/06/2015
SOUTH,Adventure Park,A,A,A,A,A,04/06/2015
SOUTH,Adventure Park,A,,A,A,,04/06/2015
SOUTH,Adventure Park,A,A,A,A,A,04/06/2015
SOUTH,Adventure Park,B,A,B,A,A,04/06/2015
SOUTH,Adventure Park,A,B,A,A,A,04/06/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,04/06/2015
REGIONAL,Virginia Robinson Gardens,A,A,B,A,A,04/06/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,A,04/06/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,A,04/06/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,04/06/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,04/06/2015
REGIONAL,Virginia Robinson Gardens,A,B,,A,A,04/06/2015
REGIONAL,Frank G. Bonelli Regional Park,F,C,,,C,04/06/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,04/06/2015
SOUTH,Ruben Ingold Parkway,A,A,,A,A,04/06/2015
REGIONAL,Whittier Narrows Recreation Area,F,C,,,F,04/06/2015
REGIONAL,Vasquez Rocks Natural Area and Nature Center,A,A,,,A,04/08/2015
REGIONAL,South Coast Botanic Garden,B,B,,C,,04/09/2015
EAST,Belvedere Community Regional Park,F,F,F,F,F,04/09/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,C,A,A,04/09/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,A,A,A,04/10/2015
NORTH,Jackie Robinson Park,B,A,A,B,B,04/10/2015
SOUTH,Del Aire Park,A,A,,A,A,04/10/2015
GOLF,El Cariso Golf Course,A,A,A,A,A,04/11/2015
SOUTH,Athens Park,F,B,,A,D,04/11/2015
SOUTH,Jesse Owens Community Regional Park,F,,,,D,04/11/2015
REGIONAL,Placerita Canyon Natural Area and Nature Center,A,A,,B,A,04/11/2015
SOUTH,Bodger Park,F,B,B,A,B,04/12/2015
EAST,Dalton Park,B,C,A,C,F,04/12/2015
EAST,Loma Alta Park,A,A,A,A,A,04/12/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,04/13/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,04/13/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,A,04/13/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,04/13/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,C,04/13/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,A,04/13/2015
REGIONAL,Virginia Robinson Gardens,A,A,,,A,04/13/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,A,04/13/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,04/13/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,,04/13/2015
REGIONAL,Virginia Robinson Gardens,A,B,A,A,A,04/13/2015
REGIONAL,Virginia Robinson Gardens,A,C,A,A,A,04/13/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,04/13/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,04/13/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,04/13/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,04/13/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,04/13/2015
NORTH,El Cariso Community Regional Park,B,B,A,A,A,04/13/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,04/13/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,04/13/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,04/13/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,04/13/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,C,A,A,04/13/2015
NORTH,El Cariso Community Regional Park,A,A,B,A,A,04/13/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,04/13/2015
NORTH,Stephen Sorensen Park,A,A,,A,A,04/13/2015
NORTH,Stephen Sorensen Park,A,A,,A,A,04/13/2015
NORTH,Stephen Sorensen Park,A,A,,A,A,04/13/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/13/2015
NORTH,Everett Martin Park,A,A,A,A,A,04/13/2015
NORTH,Jackie Robinson Park,A,A,B,C,A,04/13/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,04/13/2015
GOLF,El Cariso Golf Course,A,A,A,A,A,04/13/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,B,A,A,A,B,04/13/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,04/13/2015
NORTH,Jackie Robinson Park,A,B,,B,A,04/13/2015
NORTH,Jackie Robinson Park,A,A,A,B,A,04/13/2015
NORTH,Jackie Robinson Park,A,A,,C,A,04/13/2015
NORTH,Jackie Robinson Park,A,A,,B,A,04/13/2015
NORTH,Jackie Robinson Park,A,B,A,A,A,04/13/2015
NORTH,Jackie Robinson Park,A,A,A,B,A,04/13/2015
REGIONAL,Deana Dana Friendship Natural Area and Nature Center,A,A,A,A,A,04/13/2015
REGIONAL,Deana Dana Friendship Natural Area and Nature Center,A,A,A,A,A,04/13/2015
SOUTH,Adventure Park,A,A,A,A,A,04/13/2015
SOUTH,Adventure Park,A,A,A,A,A,04/13/2015
SOUTH,Adventure Park,A,A,A,A,A,04/13/2015
SOUTH,Adventure Park,A,A,A,A,A,04/13/2015
SOUTH,Adventure Park,A,A,A,A,A,04/13/2015
SOUTH,Adventure Park,A,A,A,A,A,04/13/2015
SOUTH,Adventure Park,A,A,A,A,A,04/13/2015
SOUTH,Adventure Park,A,A,A,A,A,04/13/2015
SOUTH,Adventure Park,A,A,A,A,A,04/13/2015
SOUTH,Adventure Park,A,A,A,A,A,04/13/2015
NORTH,Stephen Sorensen Park,A,A,,A,A,04/13/2015
NORTH,Stephen Sorensen Park,A,A,,A,A,04/13/2015
NORTH,Stephen Sorensen Park,A,A,,A,A,04/13/2015
NORTH,Stephen Sorensen Park,A,A,,A,A,04/13/2015
SOUTH,Victoria Community Regional Park,A,A,C,A,A,04/14/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,04/14/2015
EAST,Saybrook Park,F,B,D,A,C,04/14/2015
NORTH,Stephen Sorensen Park,A,A,,A,A,04/14/2015
NORTH,Stephen Sorensen Park,A,A,,A,A,04/14/2015
NORTH,Stephen Sorensen Park,A,A,,A,A,04/14/2015
NORTH,Stephen Sorensen Park,A,A,,A,A,04/14/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/14/2015
NORTH,Stephen Sorensen Park,B,B,,A,A,04/14/2015
NORTH,El Cariso Community Regional Park,A,A,B,A,A,04/14/2015
REGIONAL,Deana Dana Friendship Natural Area and Nature Center,A,A,A,A,A,04/14/2015
REGIONAL,Vasquez Rocks Natural Area and Nature Center,A,A,,A,A,04/14/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,A,A,A,04/14/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,A,A,A,04/14/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,B,A,A,04/14/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,A,A,A,04/14/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,04/14/2015
SOUTH,La Mirada Community Regional Park,C,C,C,C,C,04/14/2015
EAST,Belvedere Community Regional Park,C,A,A,A,A,04/14/2015
EAST,Belvedere Community Regional Park,A,C,C,C,B,04/15/2015
EAST,Saybrook Park,B,C,B,A,A,04/15/2015
NORTH,Apollo Community Regional Park,A,A,A,A,A,04/16/2015
NORTH,Stephen Sorensen Park,A,A,,A,A,04/16/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/16/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/16/2015
NORTH,Stephen Sorensen Park,,,,A,A,04/16/2015
NORTH,Stephen Sorensen Park,A,A,,A,A,04/16/2015
NORTH,George Lane Park,B,C,,C,A,04/16/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/16/2015
NORTH,Stephen Sorensen Park,B,B,A,A,A,04/16/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/16/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/16/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/16/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/16/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/16/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/16/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/16/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/16/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/16/2015
NORTH,Stephen Sorensen Park,A,A,,A,A,04/16/2015
SOUTH,La Mirada Community Regional Park,A,A,,A,A,04/16/2015
SOUTH,William Steinmetz Park,A,A,A,A,A,04/16/2015
SOUTH,William Steinmetz Park,A,A,,A,A,04/16/2015
SOUTH,William Steinmetz Park,A,A,A,A,A,04/16/2015
SOUTH,William Steinmetz Park,A,A,,A,A,04/16/2015
SOUTH,William Steinmetz Park,B,B,A,A,A,04/16/2015
SOUTH,William Steinmetz Park,A,A,A,A,A,04/16/2015
SOUTH,William Steinmetz Park,A,A,B,A,A,04/16/2015
SOUTH,William Steinmetz Park,C,B,B,B,B,04/16/2015
SOUTH,William Steinmetz Park,A,A,A,B,A,04/16/2015
SOUTH,William Steinmetz Park,A,A,A,A,A,04/16/2015
SOUTH,William Steinmetz Park,A,A,A,A,A,04/16/2015
SOUTH,William Steinmetz Park,A,A,B,A,B,04/16/2015
SOUTH,William Steinmetz Park,A,A,A,A,A,04/16/2015
SOUTH,William Steinmetz Park,A,A,A,A,A,04/16/2015
EAST,Eugene A. Obregon Park,A,A,A,A,A,04/16/2015
EAST,Arcadia Community Regional Park,A,A,A,A,,04/16/2015
REGIONAL,Peck Road Water Conservation Park,A,A,A,A,A,04/16/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,04/16/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,B,A,04/16/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,04/16/2015
GOLF,Mountain Meadows Golf Course,A,A,A,A,A,04/17/2015
EAST,Saybrook Park,A,D,B,B,B,04/18/2015
REGIONAL,Whittier Narrows Recreation Area,A,A,A,A,A,04/18/2015
REGIONAL,Deana Dana Friendship Natural Area and Nature Center,A,A,A,A,A,04/18/2015
NORTH,Apollo Community Regional Park,D,C,,C,D,04/19/2015
GOLF,Victoria Golf Course,B,B,D,D,D,04/19/2015
GOLF,El Cariso Golf Course,A,A,A,A,A,04/19/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,04/20/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,04/20/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,04/20/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,04/20/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,04/20/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,04/20/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,04/20/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,04/20/2015
SOUTH,Amigo Park,A,A,A,A,A,04/20/2015
SOUTH,Amigo Park,A,A,A,A,A,04/20/2015
SOUTH,Amigo Park,A,A,A,A,A,04/20/2015
SOUTH,Amigo Park,A,A,,A,A,04/20/2015
SOUTH,Amigo Park,A,A,A,A,A,04/20/2015
SOUTH,Amigo Park,A,A,,A,A,04/20/2015
SOUTH,Amigo Park,A,A,,A,A,04/20/2015
SOUTH,Amigo Park,A,A,A,A,A,04/20/2015
SOUTH,Amigo Park,A,A,A,A,A,04/20/2015
SOUTH,Amigo Park,A,A,A,A,A,04/20/2015
SOUTH,Amigo Park,A,A,A,A,A,04/20/2015
SOUTH,Amigo Park,A,A,,A,A,04/20/2015
SOUTH,Amigo Park,A,A,,A,A,04/20/2015
SOUTH,Amigo Park,A,A,A,A,A,04/20/2015
SOUTH,Amigo Park,A,A,A,A,A,04/20/2015
SOUTH,Amigo Park,A,A,A,A,A,04/20/2015
SOUTH,Amigo Park,A,A,A,A,A,04/20/2015
SOUTH,Amigo Park,A,A,A,A,A,04/20/2015
SOUTH,Amigo Park,A,A,A,A,,04/20/2015
SOUTH,Amigo Park,A,A,A,A,A,04/20/2015
SOUTH,Amigo Park,A,A,A,A,A,04/20/2015
SOUTH,Amigo Park,A,A,A,A,A,04/20/2015
NORTH,Jackie Robinson Park,A,A,A,B,A,04/20/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,04/20/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,04/20/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,04/20/2015
NORTH,Jackie Robinson Park,B,A,,A,A,04/20/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,04/20/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,04/20/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,04/20/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,04/20/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,04/20/2015
NORTH,Jackie Robinson Park,A,A,,A,,04/20/2015
NORTH,Jackie Robinson Park,A,A,,A,A,04/20/2015
NORTH,Jackie Robinson Park,A,A,,A,A,04/20/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,04/20/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,04/20/2015
NORTH,Jackie Robinson Park,A,A,,A,A,04/20/2015
NORTH,Jackie Robinson Park,A,A,B,A,A,04/20/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,04/20/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,04/20/2015
SOUTH,Pathfinder Community Regional Park,C,C,,,B,04/20/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,04/20/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,C,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,A,A,B,B,A,04/21/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
NORTH,George Lane Park,A,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,B,A,A,B,B,04/21/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
REGIONAL,Whittier Narrows Recreation Area,A,A,,A,A,04/21/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/21/2015
NORTH,Stephen Sorensen Park,C,B,,A,A,04/21/2015
SOUTH,Adventure Park,A,A,A,A,A,04/21/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,,A,A,04/21/2015
SOUTH,Amigo Park,A,A,A,A,A,04/21/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,A,A,A,04/21/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,A,A,A,04/21/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,A,A,A,04/21/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,A,A,A,04/21/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,A,A,A,04/21/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,A,A,A,04/21/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,A,A,A,04/21/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,A,A,A,04/21/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,A,A,A,04/21/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,A,A,A,04/21/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,A,A,A,04/21/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,B,A,B,04/21/2015
REGIONAL,Castaic Lake State Recreation Area,C,A,A,A,B,04/21/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,A,A,A,04/21/2015
REGIONAL,Castaic Lake State Recreation Area,B,A,B,A,A,04/21/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,A,A,A,04/21/2015
REGIONAL,Castaic Lake State Recreation Area,B,B,A,A,A,04/21/2015
REGIONAL,Castaic Lake State Recreation Area,C,B,A,B,A,04/21/2015
SOUTH,Rowland Heights Park,D,F,F,D,F,04/21/2015
SOUTH,Carolyn Rosas Park,B,A,A,B,A,04/21/2015
SOUTH,Rowland Heights Park,A,A,A,A,A,04/21/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,04/21/2015
NORTH,El Cariso Community Regional Park,A,A,,A,A,04/23/2015
EAST,Valleydale Park,A,A,A,A,A,04/23/2015
EAST,Valleydale Park,A,A,,A,A,04/23/2015
EAST,Valleydale Park,A,A,A,A,A,04/23/2015
EAST,Valleydale Park,A,A,A,A,A,04/23/2015
EAST,Bassett Park,A,A,A,A,A,04/23/2015
SOUTH,"Earvin ""Magic"" Johnson Recreation Area",C,A,B,A,A,04/23/2015
EAST,Valleydale Park,A,A,B,A,A,04/23/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,04/23/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,04/23/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,04/23/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,04/23/2015
SOUTH,Sorensen Park,A,A,A,A,A,04/23/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,A,A,A,04/24/2015
SOUTH,Hacienda Heights Community Center,A,A,A,A,A,04/24/2015
SOUTH,Sorensen Park,B,B,F,B,,04/25/2015
GOLF,El Cariso Golf Course,A,A,A,A,A,04/25/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,,A,04/26/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,,A,04/26/2015
REGIONAL,Whittier Narrows Recreation Area,C,F,,,D,04/27/2015
EAST,Bassett Park,A,A,A,A,A,04/27/2015
EAST,Bassett Park,A,A,A,A,A,04/27/2015
EAST,Bassett Park,A,A,A,A,A,04/27/2015
EAST,Bassett Park,A,A,A,A,A,04/27/2015
EAST,Bassett Park,A,A,A,A,A,04/27/2015
EAST,Bassett Park,A,A,A,A,A,04/27/2015
EAST,Bassett Park,A,A,A,A,A,04/27/2015
EAST,Bassett Park,A,A,A,A,A,04/27/2015
EAST,Bassett Park,A,A,A,A,A,04/27/2015
EAST,Bassett Park,A,A,A,A,A,04/27/2015
EAST,Bassett Park,A,A,A,A,A,04/27/2015
EAST,Bassett Park,A,A,A,A,A,04/27/2015
EAST,Bassett Park,A,A,A,A,A,04/27/2015
EAST,Bassett Park,A,A,A,A,A,04/27/2015
EAST,Bassett Park,A,A,A,A,A,04/27/2015
REGIONAL,Whittier Narrows Recreation Area,D,B,B,B,A,04/27/2015
SOUTH,Del Aire Park,A,A,,A,A,04/27/2015
EAST,Bassett Park,A,A,A,A,A,04/28/2015
EAST,Bassett Park,A,A,A,A,A,04/28/2015
EAST,Bassett Park,A,A,A,A,A,04/28/2015
EAST,Bassett Park,A,A,A,A,A,04/28/2015
EAST,Bassett Park,A,A,A,A,A,04/28/2015
EAST,Bassett Park,A,A,,A,A,04/28/2015
EAST,Bassett Park,A,A,A,A,A,04/28/2015
EAST,Bassett Park,A,A,A,A,A,04/28/2015
EAST,Bassett Park,A,A,A,A,A,04/28/2015
EAST,Bassett Park,A,A,A,A,A,04/28/2015
EAST,Bassett Park,A,A,A,A,A,04/28/2015
EAST,Bassett Park,A,A,A,A,A,04/28/2015
EAST,Bassett Park,A,A,A,A,A,04/28/2015
EAST,Bassett Park,A,A,A,A,A,04/28/2015
EAST,Bassett Park,A,A,A,A,A,04/28/2015
EAST,Bassett Park,A,A,A,A,A,04/28/2015
EAST,Bassett Park,A,A,A,A,A,04/28/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,04/28/2015
SOUTH,Jesse Owens Community Regional Park,A,A,B,A,A,04/28/2015
EAST,Bassett Park,A,A,B,A,A,04/28/2015
SOUTH,Jesse Owens Community Regional Park,A,A,B,A,A,04/28/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,A,A,A,04/28/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,A,A,A,04/28/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,A,A,A,04/28/2015
REGIONAL,South Coast Botanic Garden,A,A,,A,A,04/28/2015
EAST,Valleydale Park,A,A,A,A,A,04/28/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,04/28/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,04/28/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,04/28/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,04/28/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,04/28/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,04/28/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,04/28/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/28/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,A,A,A,04/28/2015
SOUTH,Alondra Community Regional Park,A,A,A,A,A,04/28/2015
REGIONAL,Placerita Canyon Natural Area and Nature Center,A,A,A,A,A,04/28/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/28/2015
NORTH,Stephen Sorensen Park,B,B,A,A,A,04/28/2015
NORTH,Stephen Sorensen Park,B,B,A,A,A,04/28/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/28/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/28/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/28/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/28/2015
NORTH,Stephen Sorensen Park,B,B,A,A,A,04/28/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/28/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,04/28/2015
SOUTH,La Mirada Community Regional Park,A,A,A,A,A,04/28/2015
SOUTH,La Mirada Community Regional Park,A,A,A,A,A,04/28/2015
SOUTH,La Mirada Community Regional Park,A,A,,A,A,04/28/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,,A,A,04/28/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,D,B,A,A,,04/28/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,A,A,A,04/28/2015
